name,atmosphere,color,composition,style,emotion,business
O1CN010qzKQV1jwnkFVIjTq_!!3897644613-0-alimamazszw.jpg,卡通童趣,3,5,3,2,3
O1CN011mC4UI2LtYM0CscEH_!!4207869750-0-alimamazszw.jpg,卡通童趣,3,5,3,2,3
O1CN016CLQLH1QY5fo3ylU3_!!2867731987-0-alimamazszw.jpg,卡通童趣,3,5,3,2,3
O1CN018QSogW1uEL5csDMdq_!!2211777046005-0-alimamazszw.jpg,卡通童趣,4,5,3,3,3
O1CN018rD1FO1b0A87L9xuA_!!2200632403402-0-alimamazszw.jpg,卡通童趣,3,5,4,3,3
O1CN01aSJfbK1uTuYKkz3Zs_!!2206385106039-0-alimamazszw.jpg,卡通童趣,3,5,3,3,3
O1CN01awJmQY1gnEcYpIexm_!!1128294186-0-alimamazszw.jpg,卡通童趣,4,5,3,3,3
O1CN01bvgzgh1zFJzkhBySZ_!!2830036684-0-alimamazszw.jpg,卡通童趣,3,5,4,3,3
O1CN01E40dIJ1II2syxg6pc_!!2682270869-0-alimamazszw.jpg,卡通童趣,4,5,3,3,3
O1CN01eCz9Vq1QY5fpMB92v_!!2867731987-0-alimamazszw.jpg,卡通童趣,3,5,3,3,3
O1CN01Edsigx2MLwsnzR0tJ_!!2204161029812-0-alimamazszw.jpg,卡通童趣,3,5,2,3,3
O1CN01EL2OP01d1CEXflttY_!!2200988943675-0-alimamazszw.jpg,卡通童趣,2,5,2,2,3
O1CN01GcgzS92AC4zDALAgZ_!!2200648138166-0-alimamazszw.jpg,卡通童趣,3,5,2,3,3
O1CN01ghJ2Lf1Spc2ckpVtR_!!2779512296-0-alimamazszw.jpg,卡通童趣,3,5,2,3,3
O1CN01GrkfFB1QOTLjBKAZM_!!3063891966-0-alimamazszw.jpg,卡通童趣,4,5,2,3,3
O1CN01H3KkLi2JKctXujmMl_!!2374579403-0-alimamazszw.jpg,卡通童趣,3,5,3,3,3
O1CN01iFRYYx1JwBC6or3NU_!!2210925091092-0-alimamazszw.jpg,卡通童趣,3,5,2,3,3
O1CN01kDZAoX1cQYYnkW3ii_!!2200714343595-0-alimamazszw.jpg,卡通童趣,3,5,3,3,3
O1CN01Lg94Dd1Pnph133zGu_!!2509111886-0-alimamazszw.jpg,卡通童趣,3,5,3,3,3
O1CN01lr5tDt1HWs5zWovbo_!!2868450766-0-alimamazszw.jpg,卡通童趣,3,5,2,2,3
O1CN01LxabPo1LwIY5DJHQ0_!!3158061363-0-alimamazszw.jpg,卡通童趣,3,5,3,2,3
O1CN01mnAfI51HWs5jMGELz_!!2868450766-0-alimamazszw.jpg,卡通童趣,3,5,2,2,3
O1CN01MxU7ah1de7uZS2rPv_!!2200800853760-0-alimamazszw.jpg,卡通童趣,3,5,3,3,3
O1CN01nI7fSC1j1YEVVzkex_!!2205287554488-0-alimamazszw.jpg,卡通童趣,3,5,3,2,3
O1CN01Pr6vKt22seshMYF95_!!615047176-0-alimamazszw.jpg,卡通童趣,3,5,3,3,3
O1CN01Q0NBLQ1q1HJccwSgI_!!4222265435-0-alimamazszw.jpg,卡通童趣,3,5,3,2,3
O1CN01qepIy31c7mJr6I52Y_!!2212329513554-0-alimamazszw.jpg,卡通童趣,3,5,2,3,3
O1CN01s0WCCT1aedUX3nVNf_!!3878763355-0-alimamazszw.jpg,卡通童趣,3,5,3,3,3
O1CN01tGe9GU1IYX8W8qXnH_!!324020905-0-alimamazszw.jpg,卡通童趣,2,5,2,2,3
O1CN01vHx7aW1iRMxXiqKfu_!!2204944409-0-alimamazszw.jpg,卡通童趣,3,5,2,3,3
O1CN01W7x5f727OUrrAWoQz_!!2208065117787-0-alimamazszw.jpg,卡通童趣,3,5,2,3,3
O1CN01Wa3Cdb1pWamlx2Yhj_!!2207519295368-0-alimamazszw.jpg,卡通童趣,3,5,2,3,3
O1CN01WG2Vo020zPUIunsPa_!!1662156920-0-alimamazszw.jpg,卡通童趣,3,5,3,2,3
