name,atmosphere,color,composition,style,emotion,business
O1CN014c0tuV24Iav2Y9hZF_!!2201053477368-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN01WYwAId1LVjZmXNn7H_!!3969561305-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN01eFrMRs1KNexmwJRCz_!!717731152-0-alimamazszw.jpg,简约商务,3,5,4,3,5
O1CN01Z5Jhtv26ehGu5seL3_!!2200615957687-0-alimamazszw.jpg,高端轻奢,4,5,4,3,5
O1CN015Kn13727OUqiyc8ht_!!2208065117787-0-alimamazszw.jpg,简约商务,3,5,5,3,5
O1CN01SNXfA91HcpEmS8knG_!!1813340779-0-alimamazszw.jpg,高端轻奢,2,5,5,2,5
O1CN01h8dAjm28x8RkP10wP_!!2702667998-0-alimamazszw.jpg,简约商务,3,5,5,3,5
O1CN01BCpbC51vntRsxcZdL_!!593666218-0-alimamazszw.jpg,喜庆感,3,5,3,2,4
O1CN01gAJZP51mmDQv6I2Wa_!!490534996-0-alimamazszw.jpg,简约商务,2,5,5,2,5
O1CN01st58Bt2HRpvP15yde_!!3599799148-0-alimamazszw.jpg,喜庆感,4,5,3,3,4
O1CN01hVDOPS2HWsEvJ2UZT_!!1659289159-0-alimamazszw.jpg,高端轻奢,2,5,5,2,5
O1CN01McTkmd1hbcCudz7ch_!!1734094296-0-alimamazszw.jpg,简约商务,3,5,5,3,5
O1CN01iIvA2m2Eomuu8oK2h_!!631058792-0-alimamazszw.jpg,科技感,4,5,3,3,5
O1CN01m2o0j828b9R0AShOu_!!2225227950-0-alimamazszw.jpg,高端轻奢,4,5,4,3,5
O1CN01MUiSb32Ae189qenDr_!!3445428227-0-alimamazszw.jpg,简约商务,4,5,5,4,5
O1CN01o9eNLW1gxlkDbIcpO_!!1924354209-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN011kUYWD1zC7EiCZbBn_!!3228526677-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN01FZKRMp2HE62Xz12gC_!!2209076369118-0-alimamazszw.jpg,喜庆感,3,5,3,2,4
O1CN01RzYhYh23opAedC41t_!!883737303-0-alimamazszw.jpg,高端轻奢,3,5,4,2,5
O1CN01v3NLEB20GWexoCe2B_!!2207917066822-0-alimamazszw.jpg,高端轻奢,3,5,5,3,5
O1CN01eOkcpv1MeiyDW2gQA_!!2206626571460-0-alimamazszw.jpg,简约商务,2,5,5,2,5
O1CN01HwOvyL25GaoL2UCh5_!!2209180807499-0-alimamazszw.jpg,科技感,3,5,3,3,5
O1CN01Qgi0EN1rlp9knXB5h_!!3838155672-0-alimamazszw.jpg,简约商务,4,5,4,3,5
O1CN01Wjkp9l1XqaykrYnBy_!!3091032975-0-alimamazszw.jpg,高端轻奢,3,5,5,3,5
O1CN01SvuFdr1U7lNodCVT8_!!2212386762471-0-alimamazszw.jpg,简约商务,3,5,2,2,5
O1CN01zjrjrd1sVAMoFNcdX_!!133035771-0-alimamazszw.jpg,简约商务,2,5,5,2,5
O1CN01oC2efW1lP1mX8ubCH_!!3363694810-0-alimamazszw.jpg,喜庆感,4,5,3,3,4
O1CN01e2cEyQ1l3V9wYILjd_!!196024763-0-alimamazszw.jpg,简约商务,4,5,5,3,5
O1CN01dZOj8E1vQXFDXW4Qo_!!2613416167-0-alimamazszw.jpg,时尚感,3,5,2,3,4
O1CN01vOewef1WCv4kHIH7Q_!!2206747412753-0-alimamazszw.jpg,时尚感,4,5,2,3,4
O1CN01ha0BWf1PrxDpR3FDw_!!2095691895-0-alimamazszw.jpg,简约商务,3,5,5,3,5
O1CN01yXuOSG1DfnLn4ZAVZ_!!3217310244-0-alimamazszw.jpg,简约商务,4,5,4,3,5
O1CN01ZOKRTU1b3MtOItspj_!!605623409-0-alimamazszw.jpg,简约商务,4,5,5,3,5
O1CN01ZkKWgu1QWiVK3MOUp_!!4072071984-0-alimamazszw.jpg,高端轻奢,3,5,4,2,5
O1CN01AylRAM1zvupyjMewQ_!!2204114306777-0-alimamazszw.jpg,简约商务,2,5,5,2,5
O1CN014sOMVk1rmjwwkklUH_!!394835674-0-alimamazszw.jpg,简约商务,3,5,5,2,5
O1CN01ckeCGj2BF7DKdlizH_!!365378308-0-alimamazszw.jpg,科技感,3,5,3,3,5
O1CN01eACdxx1mZOMQdJGiV_!!2938454968-0-alimamazszw.jpg,科技感,3,5,2,3,5
O1CN01Y0hZvK1JSrrqQ1NSY_!!3520051028-0-alimamazszw.jpg,简约商务,3,5,5,3,5
O1CN01mBz7l523c05XIlGBQ_!!2128867275-0-alimamazszw.jpg,高端轻奢,3,5,5,2,5
O1CN01gjFqF81h4dgmSiYJ6_!!2208603694224-0-alimamazszw.jpg,简约商务,3,5,5,3,5
O1CN01SqLWsK1cc0TGUezct_!!2089933620-0-alimamazszw.jpg,简约商务,3,5,4,2,5
